Data|Entrada Manhã|Saída Manhã|Entrada Tarde|Saída Tarde
02/03/11||||
03/03/11||||
04/03/11||||
05/03/11||||
06/03/11||||
07/03/11||||
08/03/11||||
09/03/11||||
10/03/11||||
11/03/11||||
12/03/11||||
13/03/11||||
14/03/11||||
15/03/11||||
16/03/11||||
17/03/11||||
18/03/11||||
19/03/11||||
20/03/11||||
21/03/11||||
22/03/11||||
23/03/11||||
24/03/11||||
25/03/11||||
26/03/11||||
27/03/11||||
28/03/11|9:30|12:05|13:16|17:56
29/03/11|8:25|11:57|13:53|18:04
30/03/11|8:20|12:02|13:33|17:30
31/03/11|8:44|12:19|13:20|18:02
01/04/11|8:48|12:03|13:06|17:35
02/04/11||||
03/04/11||||
04/04/11|8:46|12:06|13:29|18:06
05/04/11|8:45|12:10|13:57|18:12
06/04/11|8:31|12:03|13:15|18:15
07/04/11|8:29|12:03|13:11|18:29
08/04/11|8:21|12:22|13:20|17:40
09/04/11||||
10/04/11||||
11/04/11|8:18|12:03|14:02|18:15
12/04/11|8:36|12:03|14:12|18:23
13/04/11|8:31|12:04|13:44|18:36
14/04/11|8:59|12:05|13:49|18:03
15/04/11|8:29|12:19|14:29|18:31
16/04/11||||
17/04/11||||
18/04/11|8:25|12:05|13:09|18:29
19/04/11|8:44|12:03|13:16|18:21
20/04/11|8:33|12:06|13:37|17:56
21/04/11||||
22/04/11||||
23/04/11||||
24/04/11||||
25/04/11|9:11|12:30|14:02|18:45
26/04/11|8:39|12:05|13:13|18:13
27/04/11|8:34|12:06|15:03|18:06
28/04/11|9:36|12:12|13:09|18:36
29/04/11|8:46|12:03|14:03|18:29
30/04/11||||
01/05/2011||||
02/05/2011|8:43|12:07|13:04|18:31
03/05/2011|8:44|12:03|13:02|18:21
04/05/2011|8:42|12:01|13:58|18:32
05/05/2011|8:53|12:06|13:38|17:31
06/05/2011|8:30|11:50|13:05|18:30
07/05/2011||||
08/05/2011||||
09/05/2011|8:51|12:34|14:15|18:30
10/05/2011|8:43|12:55|14:09|18:15
11/05/2011|8:51|12:09|12:51|18:44
12/05/2011|8:52|11:55|13:46|17:29
13/05/2011|8:57|12:06|13:02|18:01
14/05/2011||||
15/05/2011||||
16/05/2011|9:10|12:06|13:30|19:01
17/05/2011|8:36|12:08|13:33|18:29
18/05/2011|8:39|12:01|13:13|18:31
19/05/2011|8:22|12:25|13:17|16:46
20/05/2011|8:17|12:05|14:19|18:30
21/05/2011||||
22/05/2011||||
23/05/2011|8:34|12:32|13:41|18:38
24/05/2011|8:44|12:34|13:11|18:34
25/05/2011|8:47|12:05|14:07|19:01
26/05/2011|8:48|12:31|13:14|17:25
27/05/2011|8:25|12:38|13:42|18:31
28/05/2011||||
29/05/2011||||
30/05/2011|8:53|12:32|13:40|18:51
31/05/2011|8:48|12:39|13:50|17:32
01/06/2011|8:31|12:05|13:50|19:04
02/06/2011|7:57|13:29|14:03|18:07
03/06/2011|8:28|12:34|13:28|18:31
04/06/2011||||
05/06/2011||||
06/06/2011|8:40|12:03|13:08|18:33
07/06/2011|8:31|12:34|13:14|18:28
08/06/2011|8:39|12:36|14:00|18:29
09/06/2011|8:34|12:47|14:24|17:14
10/06/2011|9:04|12:28|14:06|18:13
11/06/2011||||
12/06/2011||||
13/06/2011|8:43|13:06|14:25|19:06
14/06/2011|8:48|13:00|14:46|18:31
15/06/2011|8:28|13:00|14:06|19:11
16/06/2011|8:29|13:06|14:03|19:14
17/06/2011|8:34|12:13|13:08|18:38
18/06/2011||||
19/06/2011||||
20/06/2011|8:59|12:32|13:51|19:11
21/06/2011|8:59|12:27|13:36|18:31
22/06/2011|9:01|13:03|14:30|19:02
23/06/2011||||
24/06/2011|0:00|0:00|00:00|00:00
25/06/2011||||
26/06/2011||||
27/06/2011|8:51|13:03|14:15|19:02
28/06/2011|8:41|13:09|14:24|18:36
29/06/2011|8:19|13:06|13:40|18:06
30/06/2011|8:43|13:03|14:23|18:16
