0001Conta Corrente18556600
0002Conta Corrente13525800
0003Conta Corrente08959590
0003Poupanca      12685100
0005Poupanca      06812703
0005Conta Corrente01759700
0007Poupanca      04648600
0008Conta Corrente23198345
0009Conta Corrente03456200
0010Poupanca      14521666
0011Poupanca      09383600
0013Poupanca      04225700
0013Conta Corrente08210600
0014Poupanca      02475978
0015Conta Corrente08653409
0016Poupanca      01427600
0017Poupanca      23647803
0017Conta Corrente10509000
0019Conta Corrente06465670
